Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
32,Exit Long,Exit Long,2020-09-03 13:00,10741.4,168.346055,-158384.19,-8.06,807729.84,-8.06,65149.48,3.31,157841.71,8.03
32,Entry Long,Long,2020-08-23 22:00,11675.5,168.346055,-158384.19,-8.06,807729.84,-8.06,65149.48,3.31,157841.71,8.03
33,Exit Long,Short,2020-09-08 11:00,10025.0,175.013333,-53747.52,-2.97,753982.32,-2.97,6895.91,0.38,53308.68,2.95
33,Entry Long,Long,2020-09-08 02:00,10326.0,175.013333,-53747.52,-2.97,753982.32,-2.97,6895.91,0.38,53308.68,2.95
34,Exit Short,Long,2020-09-09 15:00,10213.0,174.960845,-33954.90,-1.94,720027.42,-1.94,32191.48,1.83,44878.77,2.56
34,Entry Short,Short,2020-09-08 11:00,10025.0,174.960845,-33954.90,-1.94,720027.42,-1.94,32191.48,1.83,44878.77,2.56
35,Exit Long,Exit Long,2020-10-10 03:00,11336.5,168.417455,188128.22,10.93,908155.64,10.94,188701.00,10.97,12810.49,0.74
35,Entry Long,Long,2020-09-09 15:00,10213.0,168.417455,188128.22,10.93,908155.64,10.94,188701.00,10.97,12810.49,0.74
36,Exit Short,Long,2020-10-14 15:00,11532.0,167.309859,-22985.04,-1.20,885170.60,-1.20,6287.43,0.33,25334.13,1.33
36,Entry Short,Short,2020-10-13 21:00,11401.5,167.309859,-22985.04,-1.20,885170.60,-1.20,6287.43,0.33,25334.13,1.33
37,Exit Long,Short,2020-10-14 17:00,11322.5,163.474147,-35368.67,-1.88,849801.93,-1.88,0,0.00,39308.93,2.08
37,Entry Long,Long,2020-10-14 15:00,11532.0,163.474147,-35368.67,-1.88,849801.93,-1.88,0,0.00,39308.93,2.08
38,Exit Short,Long,2020-10-15 20:00,11468.0,163.374014,-24887.93,-1.35,824914.00,-1.35,9655.94,0.52,26122.97,1.41
38,Entry Short,Short,2020-10-14 17:00,11322.5,163.374014,-24887.93,-1.35,824914.00,-1.35,9655.94,0.52,26122.97,1.41
39,Exit Long,Short,2020-10-16 08:00,11326.0,159.132245,-23684.96,-1.30,801229.04,-1.30,22367.56,1.23,42637.96,2.34
39,Entry Long,Long,2020-10-15 20:00,11468.0,159.132245,-23684.96,-1.30,801229.04,-1.30,22367.56,1.23,42637.96,2.34
40,Exit Short,Long,2020-10-18 04:00,11375.5,159.034908,-8955.33,-0.50,792273.72,-0.50,14567.95,0.81,14058.34,0.78
40,Entry Short,Short,2020-10-16 08:00,11326.0,159.034908,-8955.33,-0.50,792273.72,-0.50,14567.95,0.81,14058.34,0.78
41,Exit Long,Short,2020-10-26 19:00,12956.0,157.556042,247867.25,13.83,1040140.97,13.83,312132.28,17.41,2034.47,0.11
41,Entry Long,Long,2020-10-18 04:00,11375.5,157.556042,247867.25,13.83,1040140.97,13.83,312132.28,17.41,2034.47,0.11
42,Exit Short,Exit Short,2020-10-26 19:00,12956.0,157.466912,-1224.08,-0.06,1038916.88,-0.06,0,0.00,612.04,0.03
42,Entry Short,Short,2020-10-26 19:00,12956.0,157.466912,-1224.08,-0.06,1038916.88,-0.06,0,0.00,612.04,0.03
43,Exit Short,Long,2020-10-29 17:00,13534.5,155.045479,-61398.68,-3.01,977518.21,-3.01,25978.81,1.27,69684.25,3.42
43,Entry Short,Short,2020-10-28 17:00,13146.5,155.045479,-61398.68,-3.01,977518.21,-3.01,25978.81,1.27,69684.25,3.42
44,Exit Long,Short,2020-10-30 09:00,13237.0,146.112119,-44641.85,-2.26,932876.36,-2.26,16501.85,0.83,62033.41,3.14
44,Entry Long,Long,2020-10-29 17:00,13534.5,146.112119,-44641.85,-2.26,932876.36,-2.26,16501.85,0.83,62033.41,3.14
45,Exit Short,Long,2020-10-30 16:00,13532.5,146.020754,-44321.80,-2.29,888554.56,-2.29,12269.96,0.63,44313.08,2.29
45,Entry Short,Short,2020-10-30 09:00,13237.0,146.020754,-44321.80,-2.29,888554.56,-2.29,12269.96,0.63,44313.08,2.29
46,Exit Long,Short,2020-11-09 18:00,15225.5,139.558898,235069.18,12.44,1123623.74,12.45,340445.59,18.02,45993.00,2.43
46,Entry Long,Long,2020-10-30 16:00,13532.5,139.558898,235069.18,12.44,1123623.74,12.45,340445.59,18.02,45993.00,2.43
47,Exit Short,Exit Short,2020-11-09 18:00,15225.5,139.478119,-1274.17,-0.06,1122349.57,-0.06,0,0.00,637.09,0.03
47,Entry Short,Short,2020-11-09 18:00,15225.5,139.478119,-1274.17,-0.06,1122349.57,-0.06,0,0.00,637.09,0.03
48,Exit Long,Short,2020-11-22 11:00,18212.5,132.119873,283161.76,13.34,1405511.33,13.34,385483.81,18.16,38951.28,1.84
48,Entry Long,Long,2020-11-15 10:00,16059.0,132.119873,283161.76,13.34,1405511.33,13.34,385483.81,18.16,38951.28,1.84
49,Exit Short,Exit Short,2020-11-22 11:00,18212.5,132.080249,-1443.31,-0.06,1404068.02,-0.06,0,0.00,721.65,0.03
49,Entry Short,Short,2020-11-22 11:00,18212.5,132.080249,-1443.31,-0.06,1404068.02,-0.06,0,0.00,721.65,0.03
50,Exit Long,Short,2020-11-23 20:00,18467.0,129.309535,-16825.23,-0.70,1387242.80,-0.70,27468.47,1.14,70677.46,2.94
50,Entry Long,Long,2020-11-22 21:00,18586.0,129.309535,-16825.23,-0.70,1387242.80,-0.70,27468.47,1.14,70677.46,2.94
51,Exit Short,Long,2020-12-05 18:00,19123.5,129.270753,-86324.06,-3.61,1300918.74,-3.62,292082.08,12.23,192166.16,8.05
51,Entry Short,Short,2020-11-23 20:00,18467.0,129.270753,-86324.06,-3.61,1300918.74,-3.62,292082.08,12.23,192166.16,8.05
52,Exit Long,Short,2020-12-06 14:00,18949.0,120.321598,-22370.40,-0.97,1278548.34,-0.97,25599.98,1.11,31673.10,1.38
52,Entry Long,Long,2020-12-05 18:00,19123.5,120.321598,-22370.40,-0.97,1278548.34,-0.97,25599.98,1.11,31673.10,1.38
53,Exit Short,Long,2020-12-12 05:00,18362.0,120.246385,69238.67,3.04,1347787.01,3.04,165496.94,7.26,58642.32,2.57
53,Entry Short,Short,2020-12-06 14:00,18949.0,120.246385,69238.67,3.04,1347787.01,3.04,165496.94,7.26,58642.32,2.57
54,Exit Long,Exit Long,2020-12-19 16:00,24237.9,127.858897,749652.06,31.92,2097439.07,31.93,750581.77,31.96,11316.61,0.48
54,Entry Long,Long,2020-12-12 05:00,18362.0,127.858897,749652.06,31.92,2097439.07,31.93,750581.77,31.96,11316.61,0.48
55,Exit Long,Short,2020-12-24 01:00,23049.0,132.539062,-43462.69,-1.40,2053976.39,-1.40,108945.93,3.52,101261.02,3.27
55,Entry Long,Long,2020-12-22 17:00,23363.0,132.539062,-43462.69,-1.40,2053976.39,-1.40,108945.93,3.52,101261.02,3.27
56,Exit Short,Long,2020-12-24 21:00,23530.5,132.499312,-65649.94,-2.15,1988326.44,-2.15,44994.82,1.47,69484.59,2.27
56,Entry Short,Short,2020-12-24 01:00,23049.0,132.499312,-65649.94,-2.15,1988326.44,-2.15,44994.82,1.47,69484.59,2.27
57,Exit Long,Exit Long,2021-01-02 13:00,31060.3,126.99965,954202.06,31.92,2942528.50,31.93,955385.45,31.96,20390.96,0.68
57,Entry Long,Long,2020-12-24 21:00,23530.5,126.99965,954202.06,31.92,2942528.50,31.93,955385.45,31.96,20390.96,0.68
58,Exit Long,Short,2021-01-10 17:00,39295.0,121.440335,828037.89,21.00,3770566.39,21.00,1170109.63,29.68,25470.47,0.65
58,Entry Long,Long,2021-01-05 17:00,32455.0,121.440335,828037.89,21.00,3770566.39,21.00,1170109.63,29.68,25470.47,0.65
59,Exit Short,Exit Short,2021-01-10 17:00,39295.0,121.403914,-2862.34,-0.06,3767704.05,-0.06,0,0.00,1431.17,0.03
59,Entry Short,Short,2021-01-10 17:00,39295.0,121.403914,-2862.34,-0.06,3767704.05,-0.06,0,0.00,1431.17,0.03
60,Exit Long,Short,2021-01-15 17:00,36135.5,132.26424,10296.58,0.22,3778000.63,0.22,532917.65,11.18,202934.45,4.26
60,Entry Long,Long,2021-01-13 20:00,36036.0,132.26424,10296.58,0.22,3778000.63,0.22,532917.65,11.18,202934.45,4.26
61,Exit Short,Long,2021-01-16 15:00,37246.5,132.224573,-149812.37,-3.13,3628188.26,-3.14,176276.43,3.69,246974.43,5.17
61,Entry Short,Short,2021-01-15 17:00,36135.5,132.224573,-149812.37,-3.13,3628188.26,-3.14,176276.43,3.69,246974.43,5.17
62,Exit Long,Exit Long,2021-01-17 09:00,34266.7,124.260729,-372938.00,-8.06,3255250.25,-8.06,62543.66,1.35,371660.60,8.03
62,Entry Long,Long,2021-01-16 15:00,37246.5,124.260729,-372938.00,-8.06,3255250.25,-8.06,62543.66,1.35,371660.60,8.03
63,Exit Long,Short,2021-01-20 02:00,36181.5,114.714938,-105936.88,-2.49,3149313.38,-2.49,94740.21,2.23,184705.38,4.34
63,Entry Long,Long,2021-01-18 13:00,37083.0,114.714938,-105936.88,-2.49,3149313.38,-2.49,94740.21,2.23,184705.38,4.34
64,Exit Short,Long,2021-01-24 09:00,32659.0,114.680534,401593.78,9.68,3550907.16,9.68,832253.33,20.05,1244.79,0.03
64,Entry Short,Short,2021-01-20 02:00,36181.5,114.680534,401593.78,9.68,3550907.16,9.68,832253.33,20.05,1244.79,0.03
65,Exit Long,Exit Long,2021-01-24 09:00,32659.0,139.33879,-2730.40,-0.06,3548176.76,-0.06,0,0.00,1365.20,0.03
65,Entry Long,Long,2021-01-24 09:00,32659.0,139.33879,-2730.40,-0.06,3548176.76,-0.06,0,0.00,1365.20,0.03
66,Exit Short,Long,2021-01-28 16:00,31916.0,140.52239,59190.60,1.30,3607367.35,1.30,431936.75,9.50,77035.35,1.69
66,Entry Short,Short,2021-01-26 03:00,32356.5,140.52239,59190.60,1.30,3607367.35,1.30,431936.75,9.50,77035.35,1.69
67,Exit Long,Short,2021-02-07 16:00,37951.0,144.358021,868174.90,18.84,4475542.25,18.84,1302748.16,28.27,39131.82,0.85
