time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
2020-03-30T00:00:00+01:00,5909.5,5926.5,5873,5873,188.775,5982.864970767776,6200.383549616262
2020-03-30T01:00:00+01:00,5873,5911,5841.5,5893,478.187,5967.887475639814,6189.405565701395
2020-03-30T02:00:00+01:00,5893,5936.5,5886.5,5932,206.845,5961.9062296998445,6180.212509783488
2020-03-30T03:00:00+01:00,5932,6015.5,5931.5,5981.5,302.01,5965.171858083204,6173.115634434078
2020-03-30T04:00:00+01:00,5981.5,5998.5,5970.5,5996.5,542.802,5970.393215069336,6166.80793320429
2020-03-30T05:00:00+01:00,5996.5,6034.5,5983,6023.5,620.282,5979.244345891114,6161.689792732708
2020-03-30T06:00:00+01:00,6023.5,6240,6023.5,6196,1151.109,6015.370288242595,6162.915157277968
2020-03-30T07:00:00+01:00,6196,6242.5,6167.5,6210,644.733,6047.808573535496,6164.596758803755
2020-03-30T08:00:00+01:00,6210,6321.5,6208,6238.5,928.814,6079.590477946247,6167.236160275049
2020-03-30T09:00:00+01:00,6238.5,6288,6238.5,6270.5,546.382,6111.408731621873,6170.92415455094
2020-03-30T10:00:00+01:00,6270.5,6278,6240.5,6246.5,451.156,6133.923943018228,6173.623291888407
2020-03-30T11:00:00+01:00,6246.5,6307,6245.5,6273,576.774,6157.103285848523,6177.17246003525
2020-03-30T12:00:00+01:00,6273,6386,6266.5,6358.5,816.437,6190.669404873769,6183.64844360542
2020-03-30T13:00:00+01:00,6358.5,6374.5,6285,6302.5,742.262,6209.307837394807,6187.893142048083
2020-03-30T14:00:00+01:00,6302.5,6338.5,6297.5,6302,575.246,6224.756531162339,6191.968386974937
2020-03-30T15:00:00+01:00,6302,6333,6274,6321.5,602.319,6240.880442635283,6196.594516011546
2020-03-30T16:00:00+01:00,6321.5,6430.5,6321.5,6336,856.061,6256.733702196068,6201.573283296848
2020-03-30T17:00:00+01:00,6336,6384.5,6306,6370.5,632.788,6275.694751830057,6207.60638032196
2020-03-30T18:00:00+01:00,6370.5,6379.5,6329.5,6351,585.514,6288.245626525048,6212.727581024747
2020-03-30T19:00:00+01:00,6351,6365,6327.5,6362.5,567.596,6300.62135543754,6218.076595988149
2020-03-30T20:00:00+01:00,6362.5,6399.5,6347.5,6364.5,491.983,6311.26779619795,6223.306003274287
2020-03-30T21:00:00+01:00,6364.5,6474.5,6363,6452,769.392,6334.723163498292,6231.473646014491
2020-03-30T22:00:00+01:00,6452,6545,6451.5,6525.5,783.068,6366.519302915243,6241.974587228259
