time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
1585760400,6178,6203.5,6160,6188,603.201,6240.553972367958,6314.240991274798
1585764000,6188,6210,6177.5,6178,493.361,6230.128310306632,6309.375241586413
1585767600,6178,6204.5,6160,6201,706.807,6225.273591922193,6305.504697244041
1585771200,6201,6373.5,6189,6330,1433.332,6242.727993268494,6306.379529485325
1585774800,6330,6395,6330,6345,1065.205,6259.773327723745,6307.758832003707
1585778400,6345,6592.5,6345,6511.5,1501.895,6301.727773103121,6315.035302289289
1585782000,6511.5,6687,6492.5,6642,1362.759,6358.439810919267,6326.712612921814
1585785600,6642,6739.5,6570,6610.5,1078.251,6400.449842432723,6336.847876746035
1585789200,6610.5,6632,6543.5,6562.5,621.134,6427.458202027269,6344.906881147962
1585792800,6562.5,6611.5,6562.5,6590.5,452.819,6454.631835022725,6353.6780639641065
1585796400,6590.5,6603.5,6575.5,6601,496.484,6479.026529185604,6362.510990251103
1585800000,6601,6628.5,6584.5,6591.5,531.623,6497.7721076546695,6370.689169170707
1585803600,6591.5,6601,6560.5,6600,662.614,6514.810089712225,6378.878841700324
1585807200,6600,6642,6585.5,6632.5,662.934,6534.425074760187,6387.936740211027
1585810800,6632.5,6673,6610.5,6639.5,549.83,6551.937562300156,6396.921142346348
1585814400,6639.5,6659,6601,6644.5,543.199,6567.36463525013,6405.763244405407
1585818000,6644.5,6650,6621.5,6639,433.881,6579.303862708442,6414.093128533786
1585821600,6639,6706.5,6612,6645,656.982,6590.253218923701,6422.339802514722
1585825200,6645,6694.5,6606.5,6676,675.868,6604.544349103084,6431.399095282053
1585828800,6676,6725.5,6629.5,6651.5,1042.016,6612.370290919236,6439.259841879123
1585832400,6651.5,6671.5,6620.5,6640.5,804.216,6617.05857576603,6446.44699038344
1585836000,6640.5,6812.5,6637,6775.5,1687.918,6643.465479805025,6458.198883584031
1585839600,6775.5,6828,6720.5,6796.5,1280.354,6668.971233170854,6470.281066313173
1585843200,6796.5,6911,6782.5,6908.5,1552.213,6708.8926943090455,6485.931742516274
1585846800,6908.5,7230.5,6908.5,7081.5,9009.751,6770.993911924204,6507.2020374264075
1585850400,7081.5,7085,6729.5,6787,4520.872,6773.661593270171,6517.194821804036
1585854000,6787,6863.5,6723,6796.5,1274.324,6777.467994391809,6527.170006739606
1585857600,6796.5,6799,6644,6738,1411.383,6770.889995326507,6534.699649356048
1585861200,6738,6843,6711.5,6825.5,1056.962,6779.9916627720895,6545.08537616476
1585864800,6825.5,6859.5,6781,6842.5,740.417,6790.409718976742,6555.707327016019
1585868400,6842.5,6842.5,6730,6796.5,823.645,6791.424765813951,6564.307065336876
1585872000,6796.5,6809.5,6732.5,6738,630.714,6782.520638178293,6570.510384431987
